Tract Code,Tract Income Level,Distressed or Under-served Tract,Tract Median Family Income %,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Year,County
0303.05,Middle,No,86.51,"$108,600","$93,950","$79,867",5376,43.14,2319,1650,1951,2019,King
0303.06,Middle,No,110.20,"$108,600","$119,677","$101,741",5812,41.59,2417,1659,1907,2019,King
0303.08,Moderate,No,72.76,"$108,600","$79,017","$67,173",6755,53.66,3625,1076,1775,2019,King
0303.09,Moderate,No,77.85,"$108,600","$84,545","$71,875",6151,49.78,3062,847,1763,2019,King
0303.10,Middle,No,84.76,"$108,600","$92,049","$78,255",5519,50.05,2762,1032,1331,2019,King
0303.11,Moderate,No,67.34,"$108,600","$73,131","$62,171",5659,60.15,3404,1256,1550,2019,King
0303.12,Moderate,No,77.40,"$108,600","$84,056","$71,455",4946,42.74,2114,953,1430,2019,King
0303.13,Low,No,48.52,"$108,600","$52,693","$44,800",3864,53.70,2075,619,1020,2019,King
0303.14,Moderate,No,54.94,"$108,600","$59,665","$50,721",4426,52.06,2304,760,987,2019,King
0304.01,Middle,No,84.13,"$108,600","$91,365","$77,667",9015,41.99,3785,2199,2861,2019,King
0304.03,Middle,No,89.73,"$108,600","$97,447","$82,841",4469,38.42,1717,1529,1717,2019,King
0304.04,Moderate,No,78.32,"$108,600","$85,056","$72,308",4867,16.29,793,1409,1632,2019,King
0305.01,Low,No,44.78,"$108,600","$48,631","$41,346",1734,33.45,580,147,380,2019,King
0305.03,Moderate,No,60.46,"$108,600","$65,660","$55,823",5661,51.60,2921,914,1526,2019,King
0305.04,Moderate,No,64.93,"$108,600","$70,514","$59,945",4302,36.38,1565,937,1495,2019,King
0306.00,Moderate,No,56.44,"$108,600","$61,294","$52,105",5544,34.27,1900,1023,1838,2019,King
0307.00,Moderate,No,52.72,"$108,600","$57,254","$48,676",3868,33.12,1281,714,1414,2019,King
0308.01,Low,No,33.69,"$108,600","$36,587","$31,108",7373,61.26,4517,1386,2141,2019,King
0308.02,Moderate,No,62.33,"$108,600","$67,690","$57,543",3835,44.49,1706,710,1020,2019,King
0309.01,Moderate,No,67.15,"$108,600","$72,925","$62,000",3647,36.11,1317,957,1238,2019,King
0309.02,Moderate,No,63.85,"$108,600","$69,341","$58,952",6002,49.12,2948,1010,1705,2019,King
0310.00,Upper,No,122.97,"$108,600","$133,545","$113,523",3805,18.24,694,1197,1347,2019,King
0311.00,Moderate,No,75.94,"$108,600","$82,471","$70,109",6861,38.03,2609,1406,2130,2019,King
0312.02,Middle,No,83.76,"$108,600","$90,963","$77,331",6151,27.02,1662,1582,2305,2019,King
0312.04,Upper,No,123.44,"$108,600","$134,056","$113,958",5780,12.39,716,1987,2341,2019,King
0312.05,Middle,No,83.66,"$108,600","$90,855","$77,241",6738,35.23,2374,1522,1882,2019,King
0312.06,Moderate,No,74.47,"$108,600","$80,874","$68,750",5143,43.65,2245,1004,1250,2019,King
0313.01,Middle,No,90.29,"$108,600","$98,055","$83,362",2781,21.18,589,755,959,2019,King
0313.02,Middle,No,81.78,"$108,600","$88,813","$75,500",4017,14.44,580,1184,1673,2019,King
0314.00,Moderate,No,66.47,"$108,600","$72,186","$61,371",6053,23.03,1394,1346,2022,2019,King
0315.01,Middle,No,102.59,"$108,600","$111,413","$94,716",4285,12.70,544,1211,1591,2019,King
0315.02,Middle,No,105.67,"$108,600","$114,758","$97,556",4287,11.20,480,1384,1651,2019,King
0316.01,Middle,No,114.26,"$108,600","$124,086","$105,486",5384,15.42,830,1872,2034,2019,King
0316.03,Middle,No,117.30,"$108,600","$127,388","$108,293",5997,19.49,1169,1731,2182,2019,King
0316.04,Middle,No,115.14,"$108,600","$125,042","$106,296",5468,21.21,1160,1524,1775,2019,King
0316.05,Middle,No,111.28,"$108,600","$120,850","$102,734",3703,20.52,760,1218,1422,2019,King
0317.03,Middle,No,102.79,"$108,600","$111,630","$94,898",6719,33.12,2225,2227,2481,2019,King
0317.04,Middle,No,98.96,"$108,600","$107,471","$91,362",5383,38.10,2051,1206,1573,2019,King
0317.05,Upper,No,125.00,"$108,600","$135,750","$115,398",4202,31.94,1342,1056,1413,2019,King
0317.06,Middle,No,93.11,"$108,600","$101,117","$85,962",6699,33.84,2267,1564,1960,2019,King
0318.00,Upper,No,123.68,"$108,600","$134,316","$114,185",4640,23.92,1110,1572,1815,2019,King
0319.03,Middle,No,110.31,"$108,600","$119,797","$101,842",6642,29.16,1937,2105,2537,2019,King
0319.04,Middle,No,98.56,"$108,600","$107,036","$90,994",3486,17.93,625,1191,1329,2019,King
0319.06,Middle,No,119.67,"$108,600","$129,962","$110,481",3813,30.13,1149,1303,1418,2019,King
0319.07,Middle,No,110.99,"$108,600","$120,535","$102,463",7735,48.13,3723,2344,2612,2019,King
0319.08,Middle,No,85.01,"$108,600","$92,321","$78,482",4595,45.05,2070,829,917,2019,King
0319.09,Upper,No,124.13,"$108,600","$134,805","$114,595",3227,38.18,1232,888,971,2019,King
0320.02,Middle,No,107.30,"$108,600","$116,528","$99,063",3373,10.97,370,999,1245,2019,King
0320.03,Middle,No,105.11,"$108,600","$114,149","$97,038",5148,7.56,389,1832,2006,2019,King
0320.05,Middle,No,94.81,"$108,600","$102,964","$87,529",7160,24.58,1760,1937,2452,2019,King
0320.06,Middle,No,108.32,"$108,600","$117,636","$100,000",4567,14.50,662,1520,1915,2019,King
0320.07,Middle,No,114.31,"$108,600","$124,141","$105,536",3611,17.78,642,1181,1349,2019,King
0320.08,Middle,No,102.84,"$108,600","$111,684","$94,940",4253,17.23,733,1303,1603,2019,King
0320.10,Middle,No,115.26,"$108,600","$125,172","$106,408",5508,19.64,1082,1641,1958,2019,King
0320.11,Middle,No,118.92,"$108,600","$129,147","$109,788",4470,17.09,764,1160,1462,2019,King
0321.02,Upper,No,123.49,"$108,600","$134,110","$114,010",5063,4.54,230,1658,1901,2019,King
0321.03,Middle,No,94.02,"$108,600","$102,106","$86,797",4347,19.99,869,951,1323,2019,King
0321.04,Upper,No,125.78,"$108,600","$136,597","$116,125",5985,20.07,1201,1605,1469,2019,King
0322.03,Upper,No,155.00,"$108,600","$168,330","$143,097",7530,31.62,2381,2358,2541,2019,King
0322.07,Upper,No,167.74,"$108,600","$182,166","$154,861",3300,18.52,611,1076,1171,2019,King
0322.08,Upper,No,130.49,"$108,600","$141,712","$120,472",8766,26.63,2334,2393,2448,2019,King
0322.10,Upper,No,143.52,"$108,600","$155,863","$132,500",12302,36.92,4542,3135,3480,2019,King
0322.11,Upper,No,150.53,"$108,600","$163,476","$138,971",4951,35.57,1761,1336,1543,2019,King
0322.12,Upper,No,152.59,"$108,600","$165,713","$140,873",8608,40.39,3477,2319,2347,2019,King
0322.13,Upper,No,184.37,"$108,600","$200,226","$170,208",4587,22.06,1012,1355,1383,2019,King
0322.14,Upper,No,172.41,"$108,600","$187,237","$159,167",6347,43.47,2759,1740,1894,2019,King
0322.15,Upper,No,207.65,"$108,600","$225,508","$191,700",5276,40.13,2117,1355,1485,2019,King
0323.07,Upper,No,144.71,"$108,600","$157,155","$133,601",6727,13.04,877,2086,2384,2019,King
0323.09,Upper,No,144.62,"$108,600","$157,057","$133,516",6592,46.59,3071,617,790,2019,King
0323.11,Upper,No,163.40,"$108,600","$177,452","$150,852",5898,11.89,701,1897,2086,2019,King
0323.13,Middle,No,115.24,"$108,600","$125,151","$106,389",6704,67.63,4534,977,1321,2019,King
0323.15,Upper,No,152.27,"$108,600","$165,365","$140,577",5291,14.86,786,1698,2136,2019,King
0323.16,Upper,No,188.39,"$108,600","$204,592","$173,917",5769,26.43,1525,1658,1902,2019,King
0323.17,Upper,No,156.98,"$108,600","$170,480","$144,926",6303,19.12,1205,1780,1955,2019,King
0323.18,Upper,No,173.31,"$108,600","$188,215","$160,000",5797,36.93,2141,1689,1905,2019,King
0323.19,Middle,No,117.89,"$108,600","$128,029","$108,835",5027,14.32,720,925,1202,2019,King
0323.20,Upper,No,163.74,"$108,600","$177,822","$151,161",4682,12.77,598,1506,1589,2019,King
0323.21,Upper,No,221.55,"$108,600","$240,603","$204,531",5256,39.29,2065,1603,1753,2019,King
0323.22,Upper,No,170.43,"$108,600","$185,087","$157,344",3621,17.59,637,1092,1178,2019,King
0323.23,Upper,No,154.66,"$108,600","$167,961","$142,782",5666,28.22,1599,1535,1601,2019,King
0323.24,Middle,No,114.34,"$108,600","$124,173","$105,559",5317,34.12,1814,1229,1447,2019,King
0323.25,Upper,No,124.68,"$108,600","$135,402","$115,107",5114,43.68,2234,1118,1586,2019,King
0323.26,Upper,No,163.35,"$108,600","$177,398","$150,809",4272,22.89,978,1240,1316,2019,King
0323.27,Upper,No,120.92,"$108,600","$131,319","$111,635",3995,11.04,441,1817,2117,2019,King
0323.28,Upper,No,124.87,"$108,600","$135,609","$115,278",3376,16.59,560,1026,1151,2019,King
0323.29,Upper,No,172.78,"$108,600","$187,639","$159,514",8697,47.58,4138,2256,2362,2019,King
0324.01,Upper,No,120.55,"$108,600","$130,917","$111,290",5733,7.33,420,1690,2217,2019,King
0324.02,Upper,No,149.65,"$108,600","$162,520","$138,161",6377,13.11,836,2016,2366,2019,King
0325.00,Upper,No,122.16,"$108,600","$132,666","$112,781",5399,15.50,837,1588,2091,2019,King
0326.01,Middle,No,104.63,"$108,600","$113,628","$96,600",2624,0.95,25,751,1203,2019,King
0326.02,Upper,No,146.12,"$108,600","$158,686","$134,898",12602,19.76,2490,3420,4060,2019,King
0327.02,Middle,No,112.35,"$108,600","$122,012","$103,726",6775,10.97,743,2047,2796,2019,King
0327.03,Middle,No,90.68,"$108,600","$98,478","$83,715",2262,11.63,263,532,843,2019,King
0327.04,Middle,No,100.12,"$108,600","$108,730","$92,432",6535,12.13,793,1731,2247,2019,King
0328.00,Middle,No,105.61,"$108,600","$114,692","$97,500",2352,5.23,123,868,1673,2019,King
9901.00,Unknown,No,0.00,"$108,600",$0,$0,0,0.00,0,0,0,2019,King
0001.00,Middle,No,86.54,"$103,400","$89,482","$79,896",6918,42.37,2931,1081,1555,2018,King
0002.00,Moderate,No,75.68,"$103,400","$78,253","$69,870",7974,43.32,3454,1917,2318,2018,King
0003.00,Middle,No,94.89,"$103,400","$98,116","$87,604",2637,28.71,757,608,1002,2018,King
